College Code,College Name,Branch Code,Branch Name,Mock Cutoff,Mock Allotment Category,Round 1 Cutoff,Round 1 Allotment Category,Round 2 Cutoff,Round 2 Allotment Category,Round 3 Cutoff,Round 3 Allotment Category,Best Representative Cutoff,Best Representative Category,Chance Category
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",AM,AM,6284,GMR,6452,GMR,9001,GMR,9001,GMR,9001,GMR,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",AM,AM,5757,GMR,5757,GMR,8334,GMR,9090,3AG,9090,3AG,Dream
E048,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",EC,EC,7972,3AR,7681,3AR,8381,3AR,9104,3AR,9104,3AR,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",DS,DATA SCIENCES,6700,GMR,6908,GMR,8340,GMR,9135,3AG,9135,3AG,Dream
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ET,ET,5815,GMR,8055,GMR,9340,GMR,9340,GMR,9340,GMR,Dream
E009,"PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",EC,EC,6672,3AR,6438,3AR,7493,3AR,9583,3AR,9583,3AR,Dream
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",EC,EC,9599,GMR,9599,GMR,9599,GMR,9599,GMR,9599,GMR,Dream
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",CS,COMPUTER SCIENCE,7330,3AR,7336,3AR,9343,3AR,9744,3AR,9744,3AR,Dream
E048,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",CBS,CBS,5620,GMR,5620,GMR,7754,GMR,9964,GMR,9964,GMR,Dream
E016,"Siddaganga Institute of Technology,Tumkur",AM,AM,10308,GMR,9583,GMR,10338,3AG,10338,3AG,10338,3AG,Dream
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",CY,CY,7090,GMR,7326,GMR,8737,GMR,10790,GMR,10790,GMR,Dream
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",EC,EC,10446,3AR,10000,3AR,11227,3AR,11227,3AR,11227,3AR,Moderate
E141,"PES UNIVERSITY(Electronic City Campus) Hosur Rd, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",CS,COMPUTER SCIENCE,9723,3AR,8491,3AR,9697,3AR,11359,3AR,11359,3AR,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",AE,AGRICULTURE ENGINEERING,5306,GMR,5671,GMR,8438,GMR,11397,GMR,11397,GMR,Moderate
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",ET,ET,11242,GMR,11242,GMR,11242,GMR,11884,3AG,11884,3AG,Moderate
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",AE,AGRICULTURE ENGINEERING,7061,GMR,8821,GMR,11969,GMR,11969,GMR,11969,GMR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",IS,INFORMATION SCIENCE,7824,3AR,7689,3AR,9244,3AR,12078,3AR,12078,3AR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",AM,AM,8921,GMR,8919,GMR,9981,GMR,12095,GMR,12095,GMR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",DS,DATA SCIENCES,8596,3AR,9343,3AR,10308,3AR,12537,3AR,12537,3AR,Moderate
E009,"PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",EE,EE,10413,GMR,9464,GMR,9464,GMR,12711,3AG,12711,3AG,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",CH,CH,12727,3AR,12727,3AR,12727,3AR,12727,3AR,12727,3AR,Moderate
E016,"Siddaganga Institute of Technology,Tumkur",CS,COMPUTER SCIENCE,9619,3AR,9408,3AR,10891,3AR,12800,3AR,12800,3AR,Moderate
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",IS,INFORMATION SCIENCE,8443,GMR,8142,GMR,8916,GMR,13194,GMR,13194,GMR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",IOTCS,IOTCS,9528,3AR,8334,3AR,13424,3AR,13424,3AR,13424,3AR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",CD,COMMUNICATION DESIGN,11500,GMR,10535,GMR,12941,GMR,13674,GMR,13674,GMR,Moderate
E235,"M . S . Ramaiah University of Applied Sciences UNIVERSITY HOUSE, GNANAGANGOTHRI CAMPUS, NEW BEL ROAD, MSR ROAD, BANGALORE - 560054",AE,AGRICULTURE ENGINEERING,13932,GMR,13932,GMR,13932,GMR,13932,GMR,13932,GMR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",IS,INFORMATION SCIENCE,9337,GMR,9001,GMR,11522,GMR,14007,GMR,14007,GMR,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",ME,ME,12437,GMR,11969,GMR,14076,GMR,14076,GMR,14076,GMR,Moderate
E178,"The National Institute of Engineering(NORTH CAMPUS), No.50(Part) Koorgalli,Hootgalli Industrial Area ,Mysuru-570018",AM,AM,10403,3AR,10403,3AR,12095,3AR,14362,3AR,14362,3AR,Moderate
E285,"RV University R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",CS,COMPUTER SCIENCE,12664,3AR,13288,3AR,14463,3AR,14463,3AR,14463,3AR,Moderate
E141,"PES UNIVERSITY(Electronic City Campus) Hosur Rd, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",AM,AM,9607,3AR,9091,3AR,9370,3AR,14470,3AR,14470,3AR,Moderate
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",IOTCS,IOTCS,9789,GMR,9789,GMR,12460,GMR,14560,GMR,14560,GMR,Moderate
E016,"Siddaganga Institute of Technology,Tumkur",IS,INFORMATION SCIENCE,10423,GMR,9728,GMR,12065,GMR,14714,GMR,14714,GMR,Moderate
E178,"The National Institute of Engineering(NORTH CAMPUS), No.50(Part) Koorgalli,Hootgalli Industrial Area ,Mysuru-570018",CS,COMPUTER SCIENCE,10282,3AR,9607,3AR,12077,3AR,15006,3AR,15006,3AR,Moderate
E057,"JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006",CBS,CBS,10764,GMR,10445,GMR,12595,GMR,15144,GMR,15144,GMR,Moderate
E126,"B M S Institute of Technology & Management, Yelahanka, Bangalore(AUTONOMOUS) POST BOX NO.6443, AVALAHALLI,DODDABALLAPURA MAIN ROAD,YELAHANKA, BANGALORE - 560064.",AM,AM,13473,3AR,12953,3AR,14922,3AR,15252,3AR,15252,3AR,Moderate
E022,"The National Institute of Engineering(SOUTH CAMPUS), Mysore(AUTONOMOUS) MANANDAVADI ROAD,MYSORE 570008",EC,EC,12410,3AR,11721,3AR,14154,3AR,15352,3AR,15352,3AR,Moderate
E141,"PES UNIVERSITY(Electronic City Campus) Hosur Rd, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",EC,EC,13408,3AR,11227,3AR,13408,3AR,15516,3AR,15516,3AR,Moderate
E004,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",CS,COMPUTER SCIENCE,12078,3AR,9744,3AR,14560,3AR,15533,3AR,15533,3AR,Moderate
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",EC,EC,10790,3AR,11308,3AR,13795,3AR,15626,3AR,15626,3AR,Moderate
E126,"B M S Institute of Technology & Management, Yelahanka, Bangalore(AUTONOMOUS) POST BOX NO.6443, AVALAHALLI,DODDABALLAPURA MAIN ROAD,YELAHANKA, BANGALORE - 560064.",CS,COMPUTER SCIENCE,12953,3AR,12895,3AR,14470,3AR,15738,3AR,15738,3AR,Moderate
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",BT,BIO-TECHNOLOGY,10770,GMR,10770,GMR,16571,GMR,16571,GMR,16571,GMR,Moderate
E275,"R V Institute Of Technology and Management, Bengaluru KOTHANUR, 8TH PHASE J.P.NAGAR, BENGALURU-560 078.",AM,AM,12919,GMR,11359,GMR,14968,GMR,17560,GMR,17560,GMR,Moderate
E126,"B M S Institute of Technology & Management, Yelahanka, Bangalore(AUTONOMOUS) POST BOX NO.6443, AVALAHALLI,DODDABALLAPURA MAIN ROAD,YELAHANKA, BANGALORE - 560064.",CBS,CBS,15144,3AR,13752,3AR,17222,3AR,17658,3AR,17658,3AR,Moderate
E241,"KLE Technological University(Formerly (BVBCET) BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",AM,AM,12607,GMR,12278,GMR,14546,3AG,17694,3AG,17694,3AG,Moderate
E107,"B N M Institute of Technology, Bangalore (AUTONOMOUS) 12TH MAIN, 27TH CROSS, BSK SECOND STAGE",CS,COMPUTER SCIENCE,12538,GMR,12441,GMR,15224,GMR,17858,GMR,17858,GMR,Moderate
E275,"R V Institute Of Technology and Management, Bengaluru KOTHANUR, 8TH PHASE J.P.NAGAR, BENGALURU-560 078.",CS,COMPUTER SCIENCE,11002,3AR,11252,3AR,12819,3AR,17868,3AR,17868,3AR,Moderate
E097,"C M R Institute of Technology, Kundala Halli village, Bangalore # 132, KUNDALAHALLI VILLAGE,IT PARK ROAD,BANGALORE - 560 037",CS,COMPUTER SCIENCE,15533,GMR,14493,GMR,16601,GMR,17869,GMR,17869,GMR,Moderate
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",EE,EE,11303,GMR,9349,GMR,9349,GMR,18212,GMR,18212,GMR,Safe
E118,"RNS Institute of Technology, Bangalore (AUTONOMOUS) CHANNASANDRA,UTTARAHALLI -KENGERI MAIN ROAD,SUBRAMANYAPURA POST,BANGALORE",CS,COMPUTER SCIENCE,14860,3AR,14855,3AR,16621,3AR,18582,3AR,18582,3AR,Safe
E118,"RNS Institute of Technology, Bangalore (AUTONOMOUS) CHANNASANDRA,UTTARAHALLI -KENGERI MAIN ROAD,SUBRAMANYAPURA POST,BANGALORE",DS,DATA SCIENCES,15738,GMR,15738,GMR,18818,GMR,19053,GMR,19053,GMR,Safe
E037,"K.L.S. Gogte Institute of Technology, Belgaum.(AUTONOMOUS) ""JNANA GANGA"", UDYAMBAG,BELGAUM",AM,AM,17302,3AG,17694,3AG,19057,GMR,19057,GMR,19057,GMR,Safe
E118,"RNS Institute of Technology, Bangalore (AUTONOMOUS) CHANNASANDRA,UTTARAHALLI -KENGERI MAIN ROAD,SUBRAMANYAPURA POST,BANGALORE",AM,AM,16929,3AR,15519,3AR,17769,3AR,19087,3AR,19087,3AR,Safe
E016,"Siddaganga Institute of Technology,Tumkur",EC,EC,14076,3AR,13094,3AR,16674,3AR,19111,3AR,19111,3AR,Safe
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",RI,RI,12067,3AR,11910,3AR,12284,3AR,19166,3AR,19166,3AR,Safe
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",EC,EC,13228,GMR,13224,GMR,13258,GMR,19239,GMR,19239,GMR,Safe
E275,"R V Institute Of Technology and Management, Bengaluru KOTHANUR, 8TH PHASE J.P.NAGAR, BENGALURU-560 078.",EC,EC,13795,GMR,15279,GMR,15749,GMR,19281,GMR,19281,GMR,Safe
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",RI,RI,11910,GMR,12284,GMR,16812,GMR,19417,GMR,19417,GMR,Safe
E126,"B M S Institute of Technology & Management, Yelahanka, Bangalore(AUTONOMOUS) POST BOX NO.6443, AVALAHALLI,DODDABALLAPURA MAIN ROAD,YELAHANKA, BANGALORE - 560064.",EC,EC,14567,GMR,14397,GMR,16382,GMR,19700,GMR,19700,GMR,Safe
E056,"The National Institute of Engineering(SOUTH CAMPUS), Mysore(AUTONOMOUS) MANANDAVADI ROAD,MYSORE 570008",EC,EC,12595,GMR,12592,GMR,15891,GMR,19823,GMR,19823,GMR,Safe
E107,"B N M Institute of Technology, Bangalore (AUTONOMOUS) 12TH MAIN, 27TH CROSS, BSK SECOND STAGE",IS,INFORMATION SCIENCE,14080,3AR,14076,3AR,18487,3AR,19933,3AR,19933,3AR,Safe
E241,"KLE Technological University(Formerly (BVBCET) BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",CS,COMPUTER SCIENCE,12962,3AR,12962,3AR,16855,3AR,20182,3AR,20182,3AR,Safe
E118,"RNS Institute of Technology, Bangalore (AUTONOMOUS) CHANNASANDRA,UTTARAHALLI -KENGERI MAIN ROAD,SUBRAMANYAPURA POST,BANGALORE",CY,CY,17788,GMR,15978,GMR,19087,GMR,20345,GMR,20345,GMR,Safe
E107,"B N M Institute of Technology, Bangalore (AUTONOMOUS) 12TH MAIN, 27TH CROSS, BSK SECOND STAGE",AM,AM,13791,GMR,13774,GMR,16677,GMR,20371,GMR,20371,GMR,Safe
E034,"SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD",CS,COMPUTER SCIENCE,15800,3AG,15144,GMR,20834,3AG,20834,3AG,20834,3AG,Safe
E021,"Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University), Mysore JSS TECHNICAL INSTITUTIONS CAMPUS,MANASAGANGOTHRI PO,MYSORE",EE,EE,18904,GMR,20643,GMR,20939,GMR,21079,3AG,21079,3AG,Safe
E037,"K.L.S. Gogte Institute of Technology, Belgaum.(AUTONOMOUS) ""JNANA GANGA"", UDYAMBAG,BELGAUM",CS,COMPUTER SCIENCE,19279,3AR,16855,3AR,20667,3AR,21261,3AR,21261,3AR,Safe
E235,"M . S . Ramaiah University of Applied Sciences UNIVERSITY HOUSE, GNANAGANGOTHRI CAMPUS, NEW BEL ROAD, MSR ROAD, BANGALORE - 560054",AM,AM,20069,GMR,18001,GMR,19195,GMR,21443,GMR,21443,GMR,Safe
E241,"KLE Technological University(Formerly (BVBCET) BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",EC,EC,18829,3AR,18829,3AR,21261,3AR,21829,3AR,21829,3AR,Safe
E012,"Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157",AM,AM,13752,GMR,11648,GMR,16165,GMR,22158,GMR,22158,GMR,Safe
E099,"New Horizon College of Engineering, Varthur, Bangalore(AUTONOMOUS) RING ROAD, NEAR MARATHALLI, BELLANDUR POST,KADUBHISANAHALLI,BANGALORE",CS,COMPUTER SCIENCE,15276,3AR,15533,3AR,18137,3AR,22253,3AR,22253,3AR,Safe
E012,"Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157",CS,COMPUTER SCIENCE,14645,3AR,14302,3AR,19858,3AR,22850,3AR,22850,3AR,Safe
E060,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",CS,COMPUTER SCIENCE,17029,GMR,15998,GMR,19394,GMR,23187,GMR,23187,GMR,Safe
E235,"M . S . Ramaiah University of Applied Sciences UNIVERSITY HOUSE, GNANAGANGOTHRI CAMPUS, NEW BEL ROAD, MSR ROAD, BANGALORE - 560054",CS,COMPUTER SCIENCE,19361,3AR,17201,3AR,20580,3AR,23275,3AR,23275,3AR,Safe
E099,"New Horizon College of Engineering, Varthur, Bangalore(AUTONOMOUS) RING ROAD, NEAR MARATHALLI, BELLANDUR POST,KADUBHISANAHALLI,BANGALORE",AM,AM,15239,GMR,14878,GMR,19166,GMR,23344,GMR,23344,GMR,Safe
E097,"C M R Institute of Technology, Kundala Halli village, Bangalore # 132, KUNDALAHALLI VILLAGE,IT PARK ROAD,BANGALORE - 560 037",AM,AM,17396,GMR,14567,GMR,19702,GMR,23569,GMR,23569,GMR,Safe
E003,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",EE,EE,13806,GMR,12537,GMR,15513,GMR,23875,GMR,23875,GMR,Safe
E082,"J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060",CS,COMPUTER SCIENCE,16545,GMR,16172,GMR,20221,GMR,24052,GMR,24052,GMR,Safe
E097,"C M R Institute of Technology, Kundala Halli village, Bangalore # 132, KUNDALAHALLI VILLAGE,IT PARK ROAD,BANGALORE - 560 037",DS,DATA SCIENCES,19951,3AR,18224,3AR,22196,3AR,24188,3AR,24188,3AR,Safe
E034,"SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD",AM,AM,16528,3AG,16251,GMR,24395,3AG,24395,3AG,24395,3AG,Safe
E082,"J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060",AM,AM,19626,3AR,18106,3AR,21895,3AR,24457,3AR,24457,3AR,Safe
E133,"G S S S Institute of Engineering & Technology for Women, Mysore K.R.S. ROAD, METAGALLI INDUSTRIAL AREA, MYSORE-16",CS,COMPUTER SCIENCE,21447,GMR,20181,GMR,25041,GMR,25041,GMR,25041,GMR,Safe
E097,"C M R Institute of Technology, Kundala Halli village, Bangalore # 132, KUNDALAHALLI VILLAGE,IT PARK ROAD,BANGALORE - 560 037",AD,AD,19411,GMR,17769,GMR,21300,GMR,25080,GMR,25080,GMR,Safe
E012,"Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157",DS,DATA SCIENCES,15660,3AR,14560,3AR,19477,3AR,25103,3AR,25103,3AR,Safe
E212,"Dayananda Sagar Academy of Technology & Management Technical Campus, Bangalore(AUTONOMOUS) UDAYAPURA,KANAKAPURA ROAD,BANGALORE URBAN",CS,COMPUTER SCIENCE,20667,3AR,19281,3AR,23624,3AR,25195,3AR,25195,3AR,Safe
E005,"R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",IM,IM,18212,GMR,15229,3AG,21517,GMR,25376,GMR,25376,GMR,Safe
E034,"SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD",IS,INFORMATION SCIENCE,17694,3AG,18015,3AG,25427,3AG,25427,3AG,25427,3AG,Safe
E232,"REVA University RUKMINI KNOWLEDGE PARK, KATTIGENAHALLI, YELAHANKA,BANGALORE - 560064,",AM,AM,19858,3AR,20045,3AR,23728,3AR,25535,3AR,25535,3AR,Safe
E060,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",AM,AM,15909,GMR,17605,GMR,17843,GMR,25893,GMR,25893,GMR,Safe
E107,"B N M Institute of Technology, Bangalore (AUTONOMOUS) 12TH MAIN, 27TH CROSS, BSK SECOND STAGE",EC,EC,18247,GMR,17858,GMR,21387,GMR,26302,GMR,26302,GMR,Safe
E099,"New Horizon College of Engineering, Varthur, Bangalore(AUTONOMOUS) RING ROAD, NEAR MARATHALLI, BELLANDUR POST,KADUBHISANAHALLI,BANGALORE",EC,EC,20065,3AG,18962,GMR,23872,GMR,26386,GMR,26386,GMR,Safe
E060,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",DS,DATA SCIENCES,19083,GMR,18582,GMR,23569,GMR,26414,GMR,26414,GMR,Safe
E235,"M . S . Ramaiah University of Applied Sciences UNIVERSITY HOUSE, GNANAGANGOTHRI CAMPUS, NEW BEL ROAD, MSR ROAD, BANGALORE - 560054",EC,EC,17835,GMR,18129,GMR,18129,GMR,26524,GMR,26524,GMR,Safe
E007,"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",AN,AN,13163,GMR,10381,GMR,14286,GMR,26568,3AG,26568,3AG,Safe
E232,"REVA University RUKMINI KNOWLEDGE PARK, KATTIGENAHALLI, YELAHANKA,BANGALORE - 560064,",AD,AD,21739,GMR,21732,GMR,25609,GMR,26659,GMR,26659,GMR,Safe
E012,"Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157",IS,INFORMATION SCIENCE,16620,3AG,16620,3AG,21434,GMR,26734,GMR,26734,GMR,Safe
E004,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",EC,EC,18675,3AR,19111,3AR,22980,3AR,26757,3AR,26757,3AR,Safe
E235,"M . S . Ramaiah University of Applied Sciences UNIVERSITY HOUSE, GNANAGANGOTHRI CAMPUS, NEW BEL ROAD, MSR ROAD, BANGALORE - 560054",IS,INFORMATION SCIENCE,21902,GMR,21823,GMR,23884,GMR,26824,GMR,26824,GMR,Safe
E118,"RNS Institute of Technology, Bangalore (AUTONOMOUS) CHANNASANDRA,UTTARAHALLI -KENGERI MAIN ROAD,SUBRAMANYAPURA POST,BANGALORE",EC,EC,19111,3AR,18496,3AR,20862,3AR,26876,3AR,26876,3AR,Safe
E012,"Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157",IOTCS,IOTCS,18656,GMR,17222,GMR,23008,GMR,27023,GMR,27023,GMR,Safe
E003,"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",ME,ME,24893,GMR,27046,GMR,27046,GMR,27046,GMR,27046,GMR,Safe
E097,"C M R Institute of Technology, Kundala Halli village, Bangalore # 132, KUNDALAHALLI VILLAGE,IT PARK ROAD,BANGALORE - 560 037",IS,INFORMATION SCIENCE,17878,GMR,17425,GMR,21601,GMR,27198,GMR,27198,GMR,Safe
E212,"Dayananda Sagar Academy of Technology & Management Technical Campus, Bangalore(AUTONOMOUS) UDAYAPURA,KANAKAPURA ROAD,BANGALORE URBAN",AM,AM,22103,3AR,18272,3AR,24330,3AR,27236,3AR,27236,3AR,Safe
E129,"St.Joseph Engineering College, Mangalore(AUTONOMOUS) MANGALORE",DS,DATA SCIENCES,27415,GMR,27415,GMR,27415,GMR,27415,GMR,27415,GMR,Safe
E031,"B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102",CS,COMPUTER SCIENCE,21829,3AG,21059,3AG,27473,3AG,27473,3AG,27473,3AG,Safe
E160,"Sahyadri College Of Engineering & Management, Adyar, Mangalore(AUTONOMOUS) 'SAHYADRI CAMPUS'N.H-48, ADYAR,MANGALORE",CS,COMPUTER SCIENCE,26148,3AR,26871,3AR,26871,3AR,27748,3AR,27748,3AR,Safe
E071,"Vidya Vardhaka College of Engineering, Mysore(AUTONOMOUS) P.B.NO.206,GOKULAM 3RD STAGE,MYSORE",AM,AM,22340,GMR,21531,GMR,25993,GMR,28185,GMR,28185,GMR,Safe
E006,"M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",EI,EI,14400,GMR,15821,GMR,16568,3AG,28568,GMR,28568,GMR,Safe
E036,"K L E Technological Univeristy, Belgaum Campus (Formerly KLE Dr M.S.Sheshagiri College of Engineering and Technology) UDYAMBAGH,BELGAUM",AM,AM,25115,3AG,25004,3AG,28653,3AG,28653,3AG,28653,3AG,Safe
E071,"Vidya Vardhaka College of Engineering, Mysore(AUTONOMOUS) P.B.NO.206,GOKULAM 3RD STAGE,MYSORE",CS,COMPUTER SCIENCE,21406,3AR,21597,3AR,26302,3AR,28851,3AR,28851,3AR,Safe
E212,"Dayananda Sagar Academy of Technology & Management Technical Campus, Bangalore(AUTONOMOUS) UDAYAPURA,KANAKAPURA ROAD,BANGALORE URBAN",CY,CY,22402,GMR,21461,GMR,25893,GMR,29132,3AG,29132,3AG,Safe
E008,"Bangalore Institute of Technology, K.R.Road, Bangalore (AUTONOMOUS) K.R.ROAD, V.V.PURA, BANGALORE-560004",VL,VL,17572,GMR,17572,GMR,17572,GMR,29264,GMR,29264,GMR,Safe
E133,"G S S S Institute of Engineering & Technology for Women, Mysore K.R.S. ROAD, METAGALLI INDUSTRIAL AREA, MYSORE-16",AM,AM,22779,GMR,22779,GMR,29879,GMR,29879,GMR,29879,GMR,Safe
E232,"REVA University RUKMINI KNOWLEDGE PARK, KATTIGENAHALLI, YELAHANKA,BANGALORE - 560064,",RI,RI,29440,3AR,29440,3AR,29947,3AR,29947,3AR,29947,3AR,Safe
