College Code,College Name,Branch Code,Branch Name,Mock Cutoff,Mock Allotment Category,Round 1 Cutoff,Round 1 Allotment Category,Round 2 Cutoff,Round 2 Allotment Category,Round 3 Cutoff,Round 3 Allotment Category,Best Representative Cutoff,Best Representative Category,Chance Category
E064,"Adhichunchanagiri Institute of Technology, Chickamagalur ADICHUNCHANAGIRI EXTENTION,JYOTHINAGAR,CHIKMAGALUR - 577102",ME,ME,193987,GMR,169906,GMR,249347,GM,-,-,249347,GM,Safe
E043,"Gurunanak Dev Engineering College, Bidar MAILOOR ROAD,BIDAR 585403",EE,EE,148783,GMR,130617,GMR,257553,GM,249383,GM,249383,GM,Safe
E181,"Sri Basaveswara Institute of Technology, Madenur Gate, B.H. Road, Tiptur",EC,EC,135491,3AR,127597,3AR,249526,GM,-,-,249526,GM,Safe
E103,"Global Academy of Technology, Bangalore(AUTONOMOUS) IDEAL HOMES TOWNSHIP,RAJARAJESHWARINAGAR,BANGALORE-560098",ME,ME,96151,GMR,112571,GMR,177816,GMR,249551,GM,249551,GM,Safe
E221,"Biluru Gurubasava Mahaswamiji Institute of Technology,Mudhol,Bagalkote. MANTUR ROAD, MUDHOL,BAGALKOTE",EC,EC,133468,3AG,118063,GMR,255039,GM,249621,GM,249621,GM,Safe
E038,"BLDEA's VP. Dr.P.G. Hallakatti College of Engineering & Technology, Bijapur ASHRAM ROAD,BIJAPUR - 586103",EE,EE,120335,3AG,94807,3AG,214251,GMR,249630,GM,249630,GM,Safe
E045,"Rao Bahadur Y.Mahabaleswarappa Engineering College, Bellary CONTONMENT, BELLARY-583104",AM,AM,91245,GMR,91245,GMR,123397,GMR,249646,3AG,249646,3AG,Safe
E188,"Vijaya Vittala Institute of Technology, Doddagubbi, Hennur Bagalur Road, Bangalore #35/1, DODDA GUBBI POST, HENNUR-BAGALURU ROAD,BANGALORE",AM,AM,107676,GMR,101610,GMR,163459,GMR,249680,GM,249680,GM,Safe
E092,"Vemana Institute of Technology, Bangalore #1, MAHAYOGI VEMANA ROAD, 3RD BLOCK, KORMANGALA, BANGALORE -560034.",CE,COMPUTER ENGINEERING,176194,GMR,216644,3AR,249717,GM,-,-,249717,GM,Safe
E124,"Rajiv Gandhi Institute of Technology, Bangalore CHOLANGAR,R.T.NAGAR POST, HEBBAL,BANGALORE-560032",BM,BM,52641,3AG,56443,3AG,150661,GMR,249717,GM,249717,GM,Safe
E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN RAOD, AKKUPETE VILLAGE, KASABA HOBLI",CS,COMPUTER SCIENCE,90434,GMR,86351,GMR,133094,GMR,249741,GM,249741,GM,Safe
E045,"Rao Bahadur Y.Mahabaleswarappa Engineering College, Bellary CONTONMENT, BELLARY-583104",CE,COMPUTER ENGINEERING,206827,GMR,160593,3AG,253039,GM,249772,GM,249772,GM,Safe
E035,"Anjuman Institute of Technology & Management, Bhatkal ANJUMANABAD,BHATKAL,(U K DIST), PIN 581320",AM,AM,140769,3AG,136562,3AG,249777,GM,249777,GM,249777,GM,Safe
E220,"ALLIANCE University Central Campus, Chikkahadage Cross Chandapura-Anekal, Main Road, Bengaluru, Karnataka 562106",CE,COMPUTER ENGINEERING,121134,GMR,116989,GMR,249802,GM,249802,GM,249802,GM,Safe
E191,"Akshaya Institute of Technology, Lingapura, Tumkur Dist. LINGAPURA",AD,AD,116568,3AR,97042,3AR,146368,3AR,249812,GM,249812,GM,Safe
E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN RAOD, AKKUPETE VILLAGE, KASABA HOBLI",AD,AD,99029,GMR,95637,GMR,148794,GMR,249874,GM,249874,GM,Safe
E101,"Channabasaveshwara Institute of Technology, Gubbi Herur, Tumkur NH 206 (BH ROAD), GUBBI, TUMKUR. KARNATAKA",EC,EC,78128,3AG,77734,GMR,106882,3AG,249876,GM,249876,GM,Safe
E028,"Tontadarya College of Engineering, Gadag MUNDARAGI ROAD ,GADAG - 582101",EC,EC,108770,3AG,112677,3AG,139855,3AG,249900,GMR,249900,GMR,Safe
E059,"P D A College of Engineering, Gulbarga(AUTONOMOUS) AIWAN-E-SHAHI AREA,STATION ROAD,GULBARGA-585102",CE,COMPUTER ENGINEERING,186377,GMR,185054,GMR,257957,GM,249914,GM,249914,GM,Safe
E309,"CONSTITUENT COLLEGE OF VTU, CHINTAMANI CHIKABALLAPURA DIST CHIKBALLAPURA",AM,AM,108834,GMR,111216,GMR,249996,GM,249996,GM,249996,GM,Safe
E085,"APS College of Engineering, Somanahalli, Bangalore 26 KM KANAKAPURA ROAD BANGALORE 82,BANGALORE URBAN",IS,INFORMATION SCIENCE,66966,3AG,68428,3AG,104070,GMR,249997,GM,249997,GM,Safe
E095,"AMC Engineering College, Bannerghatta Road, Bangalore(AUTONOMOUS) 18KM,BANNERAGHATTA ROAD,KALKERE,BANGALORE-560083,BANGALORE URBAN",ME,ME,137527,GMR,126094,GMR,208560,3AG,250085,GM,250085,GM,Safe
E033,"Sri Taralabalu Jagadguru Institute of Technology, Ranebennur P B ROAD (NH4),RANEBENNUR-581 115,HAVERI DISTRICT",IS,INFORMATION SCIENCE,112586,GMR,107097,GMR,229081,GMR,250137,GM,250137,GM,Safe
E199,"AGM Rural Engineering College, Varur, Hubli NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.,DHARWAD",ME,ME,187792,3AG,247892,3AR,250154,GM,-,-,250154,GM,Safe
E177,"Rajeev Institute of Technology, Hassan PLOT 1-D(P-1), GROWTH CENTRE, INDUSTRIAL AREA, BANGALORE MANGALORE BYPASS ROAD",AM,AM,81220,GMR,84133,GMR,95027,GMR,250201,GM,250201,GM,Safe
E184,"C Byre Gowda Institute of Technology, Thoradevandahalli Village, Kolar SRINIVASPURA ROAD, THORADEVANDAHALLI, KOLAR-563101",EC,EC,151103,GMR,135817,GMR,250220,GM,250220,GM,250220,GM,Safe
E204,"Bangalore Technological Institute, Sarjapura Road, Bangalore SY NO.66/6,66/5,67/6,&67/5, KODATHI VILLAGE, VARTHOOR HOBLI,BANGALORE EAST TQ BANGALORE URBAN",AM,AM,73529,GMR,74510,GMR,102172,GMR,250288,GM,250288,GM,Safe
E146,"Shreedevi Institute of Technology, Mangalore AIRPORT ROAD, KENJAR VILLAGE,MALAVOOR PANCHAYAT,DAKSHINA KANNADA",EC,EC,132830,3AG,135441,3AG,241476,GM,250441,GM,250441,GM,Safe
E132,"Secab Institute of Engineering & Technology, Bijapur 424, NAURASPUR, BAGALKOT ROAD, HUDCO CROSS,BIJAPUR-586101",EE,EE,224856,3AG,144531,GMR,250502,GM,250502,GM,250502,GM,Safe
E136,"Moodalakatte Institute of Technology, Kundapura, Udupi MOODLAKATTE,KUNDAPURA TALUK,UDUPI DISTRICT",IS,INFORMATION SCIENCE,116445,3AG,116445,3AG,250512,3AG,250512,GM,250512,GM,Safe
E172,"R.R. Institute of Technology, Chikkabanavara, Bangalore(AUTONOMOUS) NO. 67, RAJA REDDY LAYOUT,NEAR CHIKKABANAVARA RAILWAY STATION,CHIKKABANAVARA,BANGALORE - 560090",EE,EE,103648,GMR,99712,GMR,250641,GM,250641,GM,250641,GM,Safe
E204,"Bangalore Technological Institute, Sarjapura Road, Bangalore SY NO.66/6,66/5,67/6,&67/5, KODATHI VILLAGE, VARTHOOR HOBLI,BANGALORE EAST TQ BANGALORE URBAN",CE,COMPUTER ENGINEERING,196214,GMR,250641,3AR,-,-,-,-,250641,3AR,Safe
E145,"Rajarajeswari College of Engineering, Bangalore (AUTONOMOUS) #14, RAMOHOLLI CROSS,KUMBALGODU, MYSORE ROAD,BANGALORE - 560074",EE,EE,84568,GMR,88965,GMR,151536,GMR,250649,GM,250649,GM,Safe
E209,"Jyothi Institute of Technology, Kanakapura Road,Bangalore ,BANGALORE",EC,EC,75718,GMR,62993,GMR,107204,GMR,250723,GM,250723,GM,Safe
